N	NI	D	RH	RM	RS	V	DG	DM	DS	VMAG
N	118	*	0	27	16.1	-	1	46	47	13.6
N	119	*	0	26	57.6	-	56	58	40	13.0
N	120	*	0	27	30.1	-	1	30	49	13.4
N	121	*	0	26	47.1	-	71	32	12	11.2
N	122	*	0	27	38.3	-	1	38	24	
N	123	*	0	27	36.2	-	1	35	58	
N	124	*	0	27	52.3	-	1	48	37	13.0
N	125	*	0	28	50.3	+	2	50	19	12.1
N	126	*	0	29	8.1	+	2	48	40	14.2
N	127	*	0	29	12.3	+	2	52	24	14.8
N	128	*	0	29	14.9	+	2	51	54	11.8
N	129	*	0	29	58.0	+	60	12	42	6.5
N	130	*	0	29	18.6	+	2	52	16	14.4
N	131	*	0	29	38.1	-	33	15	37	13.2
N	132	*	0	30	10.6	+	2	5	35	12.6
N	133	*	0	31	18.0	+	63	21	6	9.4
N	134	*	0	30	21.8	-	33	14	42	10.4
N	135	*	0	31	45.9	-	13	20	16	15.1
N	136	*	0	31	30.7	+	61	30	33	
N	137	*	0	30	58.1	+	10	12	31	12.8
N	138	*	0	30	59.2	+	5	9	35	13.7
N	139	*	0	31	6.5	+	5	4	42	14.4
N	140	*	0	31	20.4	+	30	47	31	13.2
N	141	*	0	31	17.6	+	5	10	46	14.5
N	142	*	0	31	7.9	-	22	37	10	13.8
N	143	*	0	31	15.5	-	22	33	36	14.4
N	144	*	0	31	20.7	-	22	38	46	13.8
N	145	*	0	31	45.6	-	5	9	14	12.7
N	146	*	0	33	3.0	+	63	18	6	9.1
N	147	*	0	33	11.7	+	48	30	26	9.5
N	148	*	0	34	15.4	-	31	47	10	12.2
N	149	*	0	33	50.2	+	30	43	25	13.7
N	150	*	0	34	15.7	-	27	48	18	11.4
N	151	*	0	34	2.8	-	9	42	18	11.6
N	152	*	0	32	56.9	-	73	6	58	
N	153	*	0	34	2.8	-	9	42	18	11.6
N	154	*	0	34	19.4	-	12	39	21	14.0
N	155	*	0	34	40.0	-	10	45	58	13.3
N	156	*	0	34	35.8	-	8	20	22	
N	157	*	0	34	46.4	-	8	23	46	10.4
N	158	*	0	35	5.5	-	8	20	42	
N	159	*	0	34	35.4	-	55	47	23	13.7
N	160	*	0	36	4.1	+	23	57	29	12.7
N	161	*	0	35	33.9	-	2	50	54	13.4
N	162	*	0	36	9.2	+	23	57	44	
N	163	*	0	35	59.7	-	10	7	17	12.7
N	164	*	0	36	32.9	+	2	45	0	15.8
N	165	*	0	36	28.9	-	10	6	23	13.1
N	166	*	0	35	48.8	-	13	36	38	14.3
N	167	*	0	35	22.9	-	23	22	29	13.7
N	168	*	0	36	38.6	-	22	35	37	14.0
N	169	*	0	36	51.7	+	23	59	29	12.4
N	169		0	36	52.2	+	23	59	6	14.0
N	170	*	0	36	45.9	+	1	53	11	14.4
N	171	*	0	37	21.5	-	19	56	4	12.2
N	172	*	0	37	13.6	-	22	35	12	13.4
N	173	*	0	37	12.4	+	1	56	32	13.0
N	174	*	0	36	58.8	-	29	28	40	12.9
N	175	*	0	37	21.5	-	19	56	4	12.2
N	176	*	0	35	58.8	-	73	9	58	12.7
N	177	*	0	37	34.3	-	22	32	57	13.3
N	178	*	0	39	8.4	-	14	10	20	12.6
N	179	*	0	37	46.3	-	17	51	0	13.3
N	180	*	0	37	57.7	+	8	38	5	12.9
N	181	*	0	38	23.3	+	29	28	24	14.9
N	182	*	0	38	12.4	+	2	43	43	12.4
N	183	*	0	38	29.3	+	29	30	42	12.7
N	184	*	0	38	35.8	+	29	26	51	14.7
N	185	*	0	38	57.6	+	48	20	14	9.2
N	186	*	0	38	25.2	+	3	9	58	13.4
N	187	*	0	39	30.2	-	14	39	23	13.2
N	188	*	0	47	30.0	+	85	15	30	8.1
N	189	*	0	39	35.6	+	61	5	42	8.8
N	190	*	0	38	54.7	+	7	3	44	14.0
N	190		0	38	54.6	+	7	3	23	14.8
N	191	*	0	38	59.2	-	9	0	10	12.5
N	191		0	39	0.1	-	9	0	54	14.0
N	192	*	0	39	13.5	+	0	51	51	12.6
N	193	*	0	39	18.5	+	3	19	52	12.3
N	194	*	0	39	18.3	+	3	2	15	12.2
N	195	*	0	39	35.7	-	9	11	39	13.7
N	196	*	0	39	17.8	+	0	54	47	12.9
N	197	*	0	39	18.7	+	0	53	33	14.1
N	198	*	0	39	22.9	+	2	47	54	13.2
N	199	*	0	39	33.1	+	3	8	17	13.6
N	200	*	0	39	34.7	+	2	53	13	12.6
N	201	*	0	39	34.9	+	0	51	37	12.9
N	202	*	0	39	39.7	+	3	32	8	14.3
N	203	*	0	39	39.5	+	3	26	33	14.0
N	204	*	0	39	44.2	+	3	18	0	12.9
N	205	*	0	40	22.1	+	41	41	7	8.1
N	206	*	0	40	32.3	+	40	44	18	14.0
N	207	*	0	39	40.7	-	14	14	11	13.7
N	208	*	0	40	17.4	+	2	45	21	14.3
N	209	*	0	39	3.5	-	18	36	30	12.9
N	210	*	0	40	34.8	-	13	52	21	10.9
N	211	*	0	39	39.5	+	3	26	33	14.0
N	212	*	0	40	13.4	-	56	9	9	13.3
N	213	*	0	41	9.9	+	16	28	11	13.5
N	214	*	0	41	28.0	+	25	29	58	12.3
N	215	*	0	40	48.9	-	56	12	51	13.0
N	216	*	0	41	27.1	-	21	2	43	13.2
N	217	*	0	41	33.9	-	10	1	18	12.4
N	218	*	0	46	32.0	+	36	19	32	12.6
N	219	*	0	42	11.3	+	0	54	16	14.3
N	220	*	0	40	30.0	-	73	24	15	12.4
N	221	*	0	42	41.8	+	40	51	57	8.1
