N	NI	D	RH	RM	RS	V	DG	DM	DS	VMAG
N	1999	*	5	36	25.4	-	6	42	57	
N	2000	*	5	27	29.3	-	71	52	46	11.9
N	2001	*	5	29	2.1	-	68	46	10	
N	2002	*	5	30	20.4	-	66	53	3	10.1
N	2003	*	5	30	54.4	-	66	27	59	11.3
N	2004	*	5	30	40.3	-	67	17	10	9.6
N	2005	*	5	30	10.9	-	69	45	9	11.6
N	2006	*	5	31	19.6	-	66	58	19	11.5
N	2007	*	5	34	58.9	-	50	55	18	13.4
N	2008	*	5	35	3.8	-	50	57	58	13.2
N	2009	*	5	30	59.2	-	69	10	54	11.0
N	2010	*	5	30	35.0	-	70	49	11	11.7
N	2011	*	5	32	20.3	-	67	31	24	10.6
N	2012	*	5	22	35.1	-	79	51	7	12.9
N	2013	*	5	44	1.6	+	55	47	22	
N	2014	*	5	32	19.9	-	67	41	24	9.0
N	2015	*	5	32	6.0	-	69	14	36	
N	2016	*	5	31	36.0	-	69	56	30	10.4
N	2017	*	5	39	16.2	-	17	50	59	
N	2018	*	5	31	20.2	-	71	3	58	10.9
N	2019	*	5	31	56.7	-	70	9	35	10.9
N	2020	*	5	33	12.7	-	67	42	57	
N	2021	*	5	33	30.7	-	67	27	11	12.1
N	2022	*	5	42	6.2	+	9	5	12	11.6
N	2023	*	5	41	38.2	-	2	15	33	
N	2024	*	5	41	42.0	-	1	51	24	
N	2025	*	5	32	33.7	-	71	42	56	10.9
N	2026	*	5	43	12.0	+	20	8	0	
N	2027	*	5	34	59.8	-	66	54	59	11.9
N	2028	*	5	33	48.6	-	69	57	7	12.9
N	2029	*	5	35	38.0	-	66	2	0	
N	2030	*	5	35	0.0	-	67	33	18	
N	2031	*	5	33	41.9	-	70	59	13	10.8
N	2032	*	5	35	20.0	-	67	34	36	
N	2033	*	5	34	30.6	-	69	46	48	11.6
N	2034	*	5	35	32.8	-	66	54	13	
N	2035	*	5	35	32.5	-	67	35	8	
N	2036	*	5	34	31.5	-	70	3	52	12.8
N	2037	*	5	34	54.0	-	69	44	12	10.3
N	2038	*	5	34	42.4	-	70	33	47	11.9
N	2039	*	5	44	1.0	+	8	41	30	
N	2040	*	5	36	7.6	-	67	34	4	
N	2041	*	5	36	28.1	-	66	59	23	10.4
N	2042	*	5	36	9.6	-	68	55	25	9.6
N	2043	*	5	35	57.3	-	70	4	28	
N	2044	*	5	36	6.0	-	69	11	55	10.6
N	2045	*	5	45	1.4	+	12	53	18	
N	2046	*	5	35	37.6	-	70	14	27	12.6
N	2047	*	5	35	53.1	-	70	11	34	13.2
N	2048	*	5	35	55.4	-	69	38	58	
N	2049	*	5	43	15.1	-	30	4	41	12.7
N	2050	*	5	36	38.9	-	69	23	1	9.3
N	2051	*	5	36	7.4	-	71	0	41	11.7
N	2052	*	5	37	11.1	-	69	46	27	
N	2053	*	5	37	39.8	-	67	24	47	12.2
N	2054	*	5	45	15.6	-	10	4	58	
N	2055	*	5	37	3.0	-	69	25	54	8.4
N	2056	*	5	36	34.1	-	70	40	19	12.3
N	2057	*	5	36	55.2	-	70	16	8	12.2
N	2058	*	5	36	54.3	-	70	9	44	11.9
N	2059	*	5	37	0.6	-	70	7	45	12.9
N	2060	*	5	37	51.6	-	69	10	23	9.6
N	2061	*	5	42	41.9	-	34	0	14	
N	2062	*	5	40	2.8	-	66	52	33	12.7
N	2063	*	5	46	44.0	+	8	42	50	
N	2064	*	5	46	18.4	+	0	0	21	
N	2065	*	5	37	38.5	-	70	14	12	11.2
N	2066	*	5	37	43.2	-	70	10	0	13.1
N	2067	*	5	46	32.0	+	0	7	54	
N	2068	*	5	46	45.0	+	0	4	48	
N	2069	*	5	38	40.0	-	69	0	18	
N	2070	*	5	38	42.5	-	69	6	3	
N	2071	*	5	47	7.2	+	0	17	39	
N	2072	*	5	38	24.5	-	70	14	3	13.2
N	2073	*	5	45	53.8	-	21	59	57	12.5
N	2074	*	5	39	3.6	-	69	29	53	
N	2075	*	5	38	20.8	-	70	41	9	11.5
N	2076	*	5	46	47.4	-	16	46	58	13.0
N	2077	*	5	39	36.0	-	69	39	26	
N	2078	*	5	39	39.3	-	69	44	38	
N	2079	*	5	39	40.0	-	69	46	26	
N	2080	*	5	39	44.2	-	69	38	44	
N	2081	*	5	39	59.5	-	69	24	21	
N	2082	*	5	41	50.9	-	64	18	5	12.1
N	2083	*	5	39	59.3	-	69	44	16	
N	2084	*	5	40	7.1	-	69	45	34	
N	2085	*	5	40	9.0	-	69	40	24	
N	2086	*	5	40	13.0	-	69	40	5	
N	2087	*	5	44	16.1	-	55	31	59	13.6
N	2088	*	5	40	59.9	-	68	27	56	12.5
N	2089	*	5	47	51.3	-	17	36	10	12.0
N	2090	*	5	47	1.6	-	34	15	3	11.2
N	2091	*	5	40	58.1	-	69	26	14	12.1
N	2092	*	5	41	22.1	-	69	13	27	
N	2093	*	5	41	49.8	-	68	55	17	11.6
N	2094	*	5	42	8.0	-	68	21	48	
N	2095	*	5	42	50.0	-	67	19	12	13.1
N	2096	*	5	42	17.9	-	68	27	31	11.3
N	2097	*	5	44	16.0	-	62	47	8	13.7
N	2098	*	5	42	30.4	-	68	16	32	10.7
N	2099	*	5	52	18.3	+	32	33	11	5.6
N	2100	*	5	42	9.1	-	69	12	43	9.6
N	2101	*	5	46	22.4	-	52	5	24	13.3
N	2102	*	5	42	20.6	-	69	29	14	11.4
N	2103	*	5	41	40.0	-	71	19	54	
N	2104	*	5	47	4.2	-	51	33	11	12.7
N	2105	*	5	44	19.2	-	66	55	4	12.2
N	2106	*	5	50	46.3	-	21	34	1	12.1
N	2107	*	5	43	13.0	-	70	38	24	11.5
N	2108	*	5	43	55.3	-	69	10	51	12.8
N	2109	*	5	44	23.0	-	68	32	52	12.2
N	2110	*	5	52	11.2	-	7	27	23	12.5
N	2111	*	5	44	33.1	-	70	59	36	12.5
N	2112	*	5	53	45.2	+	0	24	39	9.1
N	2113	*	5	45	24.6	-	69	46	27	12.3
N	2114	*	5	46	12.2	-	68	2	54	12.5
N	2115	*	5	51	19.8	-	50	35	0	13.0
N	2115		5	51	21.3	-	50	35	32	15.1
N	2116	*	5	47	15.2	-	68	30	29	12.9
N	2117	*	5	47	46.0	-	67	27	1	12.7
N	2118	*	5	47	39.6	-	69	7	55	12.0
N	2119	*	5	57	26.9	+	11	56	56	14.0
N	2120	*	5	50	34.8	-	63	40	30	12.7
N	2121	*	5	48	12.4	-	71	28	52	12.4
N	2122	*	5	48	52.6	-	70	4	12	10.4
N	2123	*	5	51	43.4	-	65	19	18	12.6
N	2124	*	5	57	52.3	-	20	5	6	12.2
N	2125	*	5	50	54.3	-	69	28	45	
N	2126	*	6	2	32.9	+	49	51	57	10.2
N	2127	*	5	51	22.4	-	69	21	41	11.6
N	2128	*	6	4	34.0	+	57	37	39	12.6
N	2129	*	6	1	6.5	+	23	19	4	6.7
N	2130	*	5	52	23.8	-	67	20	3	12.0
N	2131	*	5	58	47.2	-	26	39	11	14.0
N	2132	*	5	55	9.1	-	59	54	37	
N	2133	*	5	51	28.8	-	71	10	30	
N	2134	*	5	51	56.7	-	71	5	50	11.1
N	2135	*	5	53	35.0	-	67	25	38	12.1
N	2136	*	5	52	58.5	-	69	29	33	10.5
N	2137	*	5	53	13.2	-	69	28	55	12.7
N	2138	*	5	54	48.8	-	65	50	7	13.8
N	2139	*	6	1	8.0	-	23	40	22	11.6
N	2140	*	5	54	16.3	-	68	36	0	12.4
N	2141	*	6	2	55.0	+	10	26	47	9.4
N	2142	*	6	1	50.3	-	10	35	51	
N	2143	*	6	3	7.4	+	5	43	42	
N	2144	*	5	40	56.3	-	82	7	8	13.0
N	2145	*	5	54	22.8	-	70	54	7	12.1
N	2146	*	6	18	38.3	+	78	21	21	10.6
N	2146		6	23	54.6	+	78	31	48	12.9
N	2147	*	5	55	45.7	-	68	12	6	12.9
N	2148	*	5	58	45.6	-	59	7	35	13.6
N	2149	*	6	3	30.7	-	9	43	50	
N	2150	*	5	55	46.4	-	69	33	39	13.0
N	2151	*	5	56	20.5	-	69	1	3	
N	2152	*	6	0	55.0	-	50	44	27	13.5
N	2153	*	5	57	51.8	-	66	24	3	13.1
N	2154	*	5	57	38.3	-	67	15	44	11.8
N	2155	*	5	58	33.3	-	65	28	35	12.6
N	2156	*	5	57	50.4	-	68	27	39	11.4
N	2157	*	5	57	34.9	-	69	11	50	10.2
N	2158	*	6	7	25.6	+	24	5	46	8.6
N	2159	*	5	58	3.0	-	68	37	28	11.4
N	2160	*	5	58	12.9	-	68	17	23	12.2
N	2161	*	5	55	43.2	-	74	21	14	13.0
N	2162	*	6	0	30.4	-	63	43	20	
N	2163	*	6	7	49.5	+	18	39	27	
N	2164	*	5	58	55.0	-	68	30	56	10.3
N	2165	*	6	11	4.0	+	51	40	42	12.7
N	2166	*	5	59	33.8	-	67	56	29	12.9
N	2167	*	6	6	58.6	-	6	12	10	6.6
N	2168	*	6	9	0.0	+	24	21	0	5.1
N	2169	*	6	8	24.3	+	13	57	53	5.9
N	2170	*	6	7	31.3	-	6	23	53	
N	2171	*	5	44	13.8	-	70	40	9	
N	2172	*	6	0	5.9	-	68	38	13	11.8
N	2173	*	5	57	58.5	-	72	58	41	11.9
N	2174	*	6	9	0.3	+	20	38	26	
N	2175	*	6	9	38.6	+	20	29	18	
N	2175		6	10	54.0	+	20	36	36	
N	2176	*	6	1	19.4	-	66	51	12	
N	2177	*	6	1	16.5	-	67	44	0	12.8
N	2178	*	6	2	47.5	-	63	45	50	12.9
N	2179	*	6	8	2.1	-	21	44	46	12.3
N	2180	*	6	9	36.2	+	4	42	44	
N	2181	*	6	2	43.7	-	65	15	54	13.6
N	2182	*	6	9	30.9	-	6	19	35	
N	2183	*	6	10	46.9	-	6	12	43	
N	2184	*	6	11	0.0	-	3	29	0	
N	2185	*	6	11	0.4	-	6	13	36	
N	2186	*	6	12	7.1	+	5	27	31	8.7
N	2187	*	6	3	52.4	-	69	34	40	12.2
N	2187		6	3	44.2	-	69	35	17	12.0
N	2188	*	6	10	9.7	-	34	6	18	11.7
N	2189	*	6	12	17.0	+	1	3	42	
N	2190	*	6	1	4.1	-	74	43	32	12.9
N	2191	*	6	8	23.7	-	52	30	44	11.4
N	2192	*	6	15	17.4	+	39	51	19	10.9
N	2193	*	6	6	17.9	-	65	5	57	13.4
N	2194	*	6	13	45.9	+	12	48	24	8.5
N	2195	*	6	14	34.8	+	17	38	22	
N	2196	*	6	12	9.6	-	21	48	22	11.0
N	2197	*	6	6	8.7	-	67	5	51	13.5
N	2198	*	6	13	54.0	+	0	59	42	
N	2199	*	6	4	44.9	-	73	24	0	12.8
N	2200	*	6	13	17.4	-	43	39	47	14.0
N	2201	*	6	13	31.4	-	43	42	18	13.3
N	2202	*	6	16	50.7	+	5	59	48	
N	2203	*	6	4	42.7	-	75	26	18	12.0
N	2204	*	6	15	33.0	-	18	39	54	8.6
N	2205	*	6	10	32.8	-	62	32	19	12.7
N	2206	*	6	15	59.7	-	26	45	55	12.2
N	2207	*	6	16	21.8	-	21	22	22	10.9
N	2208	*	6	22	34.6	+	51	54	36	12.8
N	2209	*	6	8	33.5	-	73	50	16	13.2
N	2210	*	6	11	31.9	-	69	7	15	10.2
N	2211	*	6	18	30.2	-	18	32	16	12.7
N	2212	*	6	18	35.7	-	18	31	12	13.4
N	2213	*	6	10	42.0	-	71	31	42	12.4
N	2214	*	6	12	57.5	-	68	15	33	10.9
N	2215	*	6	20	49.2	-	7	17	2	8.4
N	2216	*	6	21	30.7	-	22	5	14	12.8
N	2217	*	6	21	39.8	-	27	14	3	10.7
N	2218	*	6	24	42.0	+	19	20	42	
N	2219	*	6	23	44.3	-	4	40	36	
N	2220	*	6	21	12.0	-	44	45	28	
N	2221	*	6	20	15.8	-	57	34	43	13.2
N	2222	*	6	20	16.8	-	57	32	0	13.3
N	2223	*	6	24	35.8	-	22	50	19	11.5
N	2224	*	6	27	32.0	+	12	39	20	
N	2225	*	6	26	37.5	-	9	38	32	
N	2226	*	6	26	37.5	-	9	38	32	
N	2227	*	6	25	57.9	-	22	0	17	12.5
N	2228	*	6	21	15.9	-	64	27	33	13.3
N	2229	*	6	21	23.8	-	64	57	24	13.2
N	2230	*	6	21	27.9	-	64	59	34	12.8
N	2231	*	6	20	43.0	-	67	31	7	13.2
N	2232	*	6	27	15.0	-	4	45	30	4.2
N	2233	*	6	21	40.1	-	65	2	0	13.7
N	2234	*	6	29	29.2	+	16	43	8	
N	2235	*	6	22	22.2	-	64	56	5	12.7
N	2236	*	6	29	39.6	+	6	49	51	8.5
N	2237	*	6	30	54.6	+	5	2	52	
N	2238	*	6	30	40.3	+	5	0	47	
N	2239	*	6	32	19.0	+	4	51	24	4.8
N	2240	*	6	33	10.5	+	35	15	2	
N	2241	*	6	22	53.3	-	68	55	29	13.3
N	2242	*	6	34	7.4	+	44	46	40	15.0
N	2243	*	6	29	34.4	-	31	16	53	9.4
N	2244	*	6	32	19.0	+	4	51	24	4.8
N	2245	*	6	32	41.2	+	10	9	24	
N	2246	*	6	32	33.7	+	5	7	42	
N	2247	*	6	33	5.1	+	10	19	18	
N	2248	*	6	34	35.3	+	26	18	21	
N	2249	*	6	25	49.6	-	68	55	11	12.2
N	2250	*	6	33	49.8	-	5	5	4	8.9
N	2251	*	6	34	38.4	+	8	21	59	7.3
N	2252	*	6	34	19.8	+	5	19	22	
N	2253	*	6	42	0.0	+	65	51	0	
N	2254	*	6	35	46.6	+	7	40	15	9.1
N	2255	*	6	33	58.6	-	34	48	42	13.5
N	2256	*	6	47	14.2	+	74	14	13	12.5
N	2257	*	6	30	13.0	-	64	19	29	13.5
N	2258	*	6	47	46.5	+	74	28	53	11.9
N	2259	*	6	38	33.3	+	10	52	57	10.8
N	2260	*	6	38	3.0	-	1	28	20	
N	2261	*	6	39	9.5	+	8	44	40	
N	2262	*	6	39	38.7	+	1	8	30	11.3
N	2263	*	6	38	28.8	-	24	50	55	11.9
N	2264	*	6	40	58.2	+	9	53	44	4.1
N	2265	*	6	41	41.6	+	11	54	19	
N	2266	*	6	43	19.2	+	26	58	10	9.5
N	2267	*	6	40	51.7	-	32	28	56	12.5
N	2268	*	7	14	17.5	+	84	22	56	11.5
N	2269	*	6	43	17.0	+	4	37	28	10.0
N	2270	*	6	43	57.7	+	3	28	45	
N	2271	*	6	42	52.9	-	23	28	33	12.1
N	2272	*	6	42	41.2	-	27	27	35	11.5
N	2273	*	6	50	8.4	+	60	50	45	11.7
N	2273		6	40	7.0	+	60	4	50	12.6
N	2273		6	46	31.5	+	60	20	25	12.5
N	2274	*	6	47	17.4	+	33	34	3	12.1
N	2275	*	6	47	17.9	+	33	35	57	13.2
N	2276	*	7	27	13.6	+	85	45	18	11.4
N	2277	*	6	47	47.0	+	33	27	17	13.4
N	2278	*	6	48	16.3	+	33	23	43	
N	2279	*	6	48	24.7	+	33	24	52	
N	2280	*	6	44	48.9	-	27	38	20	10.3
N	2281	*	6	48	17.8	+	41	4	44	5.4
N	2282	*	6	46	51.2	+	1	18	54	
N	2283	*	6	45	52.6	-	18	12	37	11.5
N	2284	*	6	49	9.5	+	33	11	40	
N	2285	*	6	49	36.0	+	33	21	54	
N	2286	*	6	47	40.1	-	3	8	52	7.5
N	2287	*	6	46	0.0	-	20	45	24	4.5
N	2288	*	6	50	51.9	+	33	27	45	14.4
N	2289	*	6	50	53.5	+	33	28	44	13.1
N	2290	*	6	50	56.9	+	33	26	15	13.2
N	2291	*	6	50	58.6	+	33	31	30	13.2
N	2292	*	6	47	39.4	-	26	44	47	11.0
N	2293	*	6	47	42.8	-	26	45	17	11.2
N	2294	*	6	51	11.3	+	33	31	38	13.8
N	2295	*	6	47	23.2	-	26	44	10	12.5
N	2296	*	6	48	39.0	-	16	54	4	
N	2297	*	6	44	24.5	-	63	43	3	12.7
N	2298	*	6	48	59.2	-	36	0	17	9.3
N	2299	*	6	51	56.6	-	7	5	4	8.9
N	2300	*	7	32	20.3	+	85	42	33	11.0
N	2301	*	6	51	45.2	+	0	27	33	6.0
N	2302	*	6	51	56.6	-	7	5	4	8.9
N	2303	*	6	56	17.4	+	45	29	36	12.6
N	2304	*	6	55	11.8	+	17	59	19	10.0
N	2305	*	6	48	37.3	-	64	16	22	11.7
N	2306	*	6	54	29.5	-	7	11	55	
N	2307	*	6	48	51.0	-	64	20	6	12.0
N	2308	*	6	58	37.5	+	45	12	40	13.2
N	2309	*	6	56	3.6	-	7	10	28	10.5
N	2310	*	6	53	53.8	-	40	51	49	11.8
N	2311	*	6	57	47.5	-	4	36	41	9.6
N	2312	*	6	58	47.0	+	10	17	44	
N	2313	*	6	58	2.8	-	7	56	42	
N	2314	*	7	10	31.8	+	75	19	40	12.2
N	2315	*	7	2	33.0	+	50	35	27	13.6
N	2316	*	6	59	40.8	-	7	46	38	
N	2317	*	6	59	40.8	-	7	46	38	
N	2318	*	6	59	27.0	-	13	41	52	
N	2319	*	7	0	32.2	+	3	2	34	
N	2320	*	7	5	41.9	+	50	34	51	11.9
N	2321	*	7	5	58.9	+	50	45	24	13.6
N	2322	*	7	6	0.3	+	50	30	38	13.8
N	2323	*	7	2	47.8	-	8	22	33	5.9
N	2324	*	7	4	7.9	+	1	2	41	8.4
N	2325	*	7	2	40.2	-	28	41	52	11.3
N	2326	*	7	8	10.9	+	50	40	56	13.1
N	2326		7	8	34.3	+	50	37	54	14.7
N	2327	*	7	4	7.2	-	11	18	51	
N	2328	*	7	2	36.1	-	42	4	5	12.1
N	2329	*	7	9	7.9	+	48	36	57	12.5
N	2330	*	7	9	28.3	+	50	9	11	14.8
N	2331	*	7	6	59.8	+	27	15	42	8.5
N	2332	*	7	9	33.8	+	50	10	55	12.8
N	2333	*	7	8	21.2	+	35	10	12	13.3
N	2334	*	7	11	33.6	+	50	14	56	13.7
N	2335	*	7	6	49.4	-	10	1	43	7.2
N	2336	*	7	27	3.6	+	80	10	40	10.4
N	2336		7	56	15.1	+	78	0	47	13.7
N	2337	*	7	10	13.6	+	44	27	25	12.4
N	2338	*	7	7	43.0	-	5	43	0	
N	2339	*	7	8	20.3	+	18	46	46	11.8
N	2340	*	7	11	10.7	+	50	10	29	11.7
N	2341	*	7	9	12.0	+	20	36	12	13.2
N	2342	*	7	9	18.1	+	20	38	13	12.6
N	2343	*	7	8	6.7	-	10	37	0	6.7
N	2344	*	7	12	28.6	+	47	10	2	12.0
N	2345	*	7	8	18.7	-	13	11	37	7.7
N	2346	*	7	9	22.5	-	0	48	22	11.6
N	2347	*	7	16	4.0	+	64	42	41	12.5
N	2348	*	7	3	2.7	-	67	23	39	
N	2349	*	7	10	48.1	-	8	35	34	
N	2350	*	7	13	12.1	+	12	15	59	12.3
N	2351	*	7	13	30.0	-	10	28	58	
N	2352	*	7	13	5.7	-	24	2	20	
N	2353	*	7	14	30.3	-	10	15	57	7.1
N	2354	*	7	14	10.0	-	25	41	24	6.5
N	2355	*	7	16	59.2	+	13	45	0	9.7
N	2356	*	7	16	59.2	+	13	45	0	9.7
N	2357	*	7	17	40.9	+	23	21	23	13.3
N	2358	*	7	16	56.3	-	17	7	0	
N	2359	*	7	18	30.0	-	13	13	30	
N	2360	*	7	17	43.1	-	15	38	29	7.2
N	2361	*	7	18	23.7	-	13	12	32	
N	2362	*	7	18	41.4	-	24	57	15	3.8
N	2363	*	7	28	29.9	+	69	11	34	13.0
N	2364	*	7	20	46.4	-	7	32	58	
N	2365	*	7	22	22.3	+	22	5	0	12.4
N	2366	*	7	28	54.8	+	69	12	58	11.1
N	2367	*	7	20	6.0	-	21	52	54	7.9
N	2368	*	7	21	2.2	-	10	22	28	11.8
N	2369	*	7	16	37.7	-	62	20	38	12.3
N	2369		7	18	43.5	-	62	56	12	12.9
N	2369		7	20	29.7	-	62	3	14	13.2
N	2370	*	7	25	1.5	+	23	47	1	13.7
N	2371	*	7	25	33.9	+	29	29	18	11.2
N	2372	*	7	25	33.9	+	29	29	18	11.2
N	2373	*	7	26	36.9	+	33	49	27	13.8
N	2374	*	7	23	56.0	-	13	15	48	8.0
N	2375	*	7	27	9.4	+	33	49	57	13.6
N	2376	*	7	26	35.9	+	23	4	24	14.4
N	2377	*	7	24	56.7	-	9	39	38	12.7
N	2378	*	7	27	23.9	+	33	49	55	
N	2379	*	7	27	26.2	+	33	48	43	13.5
N	2380	*	7	23	54.5	-	27	31	43	11.2
N	2381	*	7	19	57.4	-	63	4	1	12.8
N	2382	*	7	23	54.5	-	27	31	43	11.2
N	2383	*	7	24	39.9	-	20	56	51	8.4
N	2384	*	7	25	10.0	-	21	1	18	7.4
N	2385	*	7	28	28.2	+	33	50	17	13.9
N	2386	*	7	28	38.1	+	33	46	35	
N	2387	*	7	29	26.1	+	36	46	8	
N	2388	*	7	28	53.5	+	33	49	8	13.8
N	2389	*	7	29	4.8	+	33	51	39	12.9
N	2390	*	7	29	4.2	+	33	50	13	
N	2391	*	7	29	7.6	+	33	49	33	
N	2392	*	7	29	10.8	+	20	54	45	9.1
N	2393	*	7	30	4.9	+	34	1	40	14.0
N	2394	*	7	28	36.5	+	7	5	14	
N	2395	*	7	27	12.8	+	13	36	30	8.0
N	2396	*	7	28	0.0	-	11	43	0	7.4
N	2397	*	7	21	19.5	-	69	0	5	11.8
N	2397		7	21	7.9	-	69	6	55	14.1
N	2397		7	21	55.7	-	68	50	45	14.4
N	2398	*	7	30	16.2	+	24	29	17	13.9
N	2398		7	30	13.6	+	24	29	29	14.9
N	2399	*	7	29	49.9	-	0	12	49	
N	2400	*	7	29	55.1	-	0	12	51	
N	2401	*	7	29	24.3	-	13	58	0	12.6
N	2402	*	7	30	46.5	+	9	38	51	13.9
N	2402		7	30	47.8	+	9	39	14	15.2
N	2403	*	7	36	50.6	+	65	36	6	8.5
N	2404	*	7	37	7.0	+	65	36	40	14.5
N	2405	*	7	32	13.9	+	25	54	22	14.1
N	2405		7	32	15.1	+	25	54	21	14.5
N	2406	*	7	31	47.7	+	18	17	19	14.2
N	2407	*	7	31	56.6	+	18	20	1	13.4
N	2408	*	7	40	30.0	+	71	40	0	
N	2409	*	7	31	36.7	-	17	11	23	7.3
N	2410	*	7	35	2.2	+	32	49	21	13.0
N	2411	*	7	34	36.4	+	18	16	55	13.8
N	2412	*	7	34	21.5	+	8	32	51	
N	2413	*	7	33	19.0	-	13	7	9	
N	2414	*	7	33	12.8	-	15	27	14	7.9
N	2415	*	7	36	56.5	+	35	14	31	12.4
N	2416	*	7	35	41.4	+	11	36	45	13.4
N	2417	*	7	30	12.1	-	62	15	9	12.0
N	2418	*	7	36	37.4	+	17	53	2	12.2
N	2419	*	7	38	8.5	+	38	52	57	10.3
N	2420	*	7	38	23.8	+	21	34	27	8.3
N	2421	*	7	36	12.0	-	20	36	42	8.3
N	2422	*	7	36	35.0	-	14	28	47	4.4
N	2423	*	7	37	6.7	-	13	52	17	6.7
N	2424	*	7	40	39.3	+	39	14	0	12.6
N	2425	*	7	38	17.6	-	14	52	40	
N	2426	*	7	43	18.4	+	52	19	5	13.1
N	2427	*	7	36	27.9	-	47	38	9	11.5
N	2428	*	7	39	22.0	-	16	31	42	
N	2429	*	7	43	47.5	+	52	21	27	13.7
N	2429		7	43	47.5	+	52	21	27	13.7
N	2429		7	43	51.8	+	52	20	53	16.5
N	2430	*	7	39	41.0	-	16	17	46	
N	2431	*	7	45	13.3	+	53	4	32	13.4
N	2432	*	7	40	53.0	-	19	4	36	10.2
N	2433	*	7	42	43.6	+	9	15	33	
N	2434	*	7	34	51.5	-	69	17	4	11.2
N	2435	*	7	44	13.4	+	31	39	2	12.8
N	2436	*	7	45	13.3	+	53	4	32	13.4
N	2437	*	7	41	46.8	-	14	48	36	6.1
N	2438	*	7	41	50.6	-	14	44	5	10.8
N	2439	*	7	40	45.4	-	31	41	33	6.9
N	2440	*	7	41	55.4	-	18	12	29	9.4
N	2441	*	7	51	54.5	+	73	0	55	12.2
N	2442	*	7	36	23.8	-	69	31	51	10.4
N	2443	*	7	36	23.8	-	69	31	51	10.4
N	2444	*	7	46	53.0	+	39	1	57	13.2
N	2445	*	7	46	55.0	+	39	0	56	13.3
N	2446	*	7	48	39.2	+	54	36	42	12.9
N	2447	*	7	44	30.0	-	23	51	24	6.2
N	2448	*	7	44	34.5	-	24	40	51	
N	2449	*	7	47	20.4	+	26	55	50	13.4
N	2450	*	7	47	32.2	+	27	1	10	14.7
N	2451	*	7	45	24.0	-	37	57	0	2.8
N	2452	*	7	47	26.2	-	27	20	6	12.0
N	2453	*	7	47	34.1	-	27	11	41	8.3
N	2454	*	7	50	34.9	+	16	22	9	13.8
N	2455	*	7	49	0.0	-	21	18	6	10.2
N	2456	*	7	54	10.7	+	55	29	43	13.1
N	2457	*	7	54	45.7	+	55	32	50	15.4
N	2458	*	7	55	51.6	+	56	42	39	14.5
N	2459	*	7	52	1.7	+	9	33	29	
N	2460	*	7	56	52.8	+	60	20	58	11.8
N	2461	*	7	56	26.2	+	56	40	26	
N	2462	*	7	56	31.9	+	56	41	12	13.2
N	2463	*	7	57	12.2	+	56	40	37	14.2
N	2464	*	7	57	32.3	+	56	41	27	
N	2465	*	7	57	25.0	+	56	49	17	
N	2466	*	7	45	15.6	-	71	24	39	13.0
N	2467	*	7	52	26.0	-	26	26	12	
N	2468	*	7	58	2.2	+	56	21	33	13.9
N	2469	*	7	58	3.2	+	56	40	48	12.7
N	2470	*	7	54	20.4	+	4	27	36	12.7
N	2471	*	7	58	33.2	+	56	46	32	
N	2472	*	7	58	41.7	+	56	42	4	15.3
N	2473	*	7	55	35.0	+	56	44	11	15.1
N	2474	*	7	58	0.3	+	52	51	44	13.1
N	2475	*	7	57	58.8	+	52	51	26	13.2
N	2476	*	7	56	45.2	+	39	55	40	12.6
N	2477	*	7	52	10.0	-	38	31	48	5.8
N	2478	*	7	36	35.0	-	14	28	47	4.4
N	2479	*	7	55	6.0	-	17	42	28	9.6
N	2480	*	7	57	10.6	+	23	46	47	13.8
N	2481	*	7	57	13.7	+	23	46	3	13.0
N	2482	*	7	55	12.0	-	24	15	30	7.3
N	2483	*	7	55	39.0	-	27	53	42	7.6
N	2484	*	7	58	28.1	+	37	47	12	13.0
N	2485	*	7	56	48.7	+	7	28	39	12.2
N	2486	*	7	57	56.5	+	25	9	40	13.3
N	2487	*	7	58	20.3	+	25	8	57	12.5
N	2488	*	8	1	45.6	+	56	33	10	12.4
N	2489	*	7	56	15.9	-	30	3	51	7.9
N	2490	*	7	59	17.9	+	27	4	40	14.6
N	2491	*	7	58	27.3	+	7	59	4	14.8
N	2492	*	7	59	29.7	+	27	1	35	12.7
N	2493	*	8	0	23.8	+	39	49	51	12.0
N	2494	*	7	59	7.2	-	0	38	15	13.1
N	2495	*	8	0	33.2	+	39	50	26	15.2
N	2496	*	7	58	37.4	+	8	1	41	12.9
N	2497	*	8	2	11.1	+	56	56	32	13.2
N	2498	*	7	59	38.7	+	24	59	0	13.4
N	2499	*	7	58	51.7	+	7	29	34	14.0
N	2500	*	8	1	53.0	+	50	44	12	11.6
N	2501	*	7	58	30.0	-	14	21	15	13.4
N	2502	*	7	55	51.5	-	52	18	25	12.0
N	2503	*	8	0	36.8	+	22	24	0	13.7
N	2504	*	7	59	52.2	+	5	36	28	13.3
N	2505	*	8	4	6.7	+	53	32	59	13.2
N	2506	*	8	0	1.7	-	10	46	11	7.6
N	2507	*	8	1	37.1	+	15	42	37	12.2
N	2508	*	8	1	57.1	+	8	33	7	12.7
N	2509	*	8	0	47.8	-	19	3	2	9.3
N	2510	*	8	2	10.5	+	9	29	10	13.4
N	2511	*	8	2	15.0	+	9	23	43	14.2
N	2512	*	8	3	7.6	+	23	23	30	13.1
N	2513	*	8	2	24.7	+	9	24	50	11.6
N	2514	*	8	2	49.7	+	15	48	28	13.4
